"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"","1175","","1175","500","stim","single-stim-button","91","246106","0.0-90.0","dietary_decision","true","0","","Bad","1175","taste_rating","blueberryyogart","-1","37","","","","",""
"","1409","","1409","500","stim","single-stim-button","92","248023","0.0-91.0","dietary_decision","true","0","","Neutral","1409","taste_rating","RiceKrispyTreat","0","38","","","","",""
"","882","","882","500","stim","single-stim-button","93","249417","0.0-92.0","dietary_decision","true","0","","Neutral","882","taste_rating","wwmuffin","0","39","","","","",""
"","907","","907","500","stim","single-stim-button","94","250832","0.0-93.0","dietary_decision","true","0","","Bad","907","taste_rating","specialKbar","-1","40","","","","",""
"","693","","693","500","stim","single-stim-button","95","252038","0.0-94.0","dietary_decision","true","0","","Neutral","693","taste_rating","cherryicecream","0","41","","","","",""
"","599","","599","500","stim","single-stim-button","96","253139","0.0-95.0","dietary_decision","true","0","","Bad","599","taste_rating","whitegrapes","-1","42","","","","",""
"","538","","538","500","stim","single-stim-button","97","254183","0.0-96.0","dietary_decision","true","0","","Neutral","538","taste_rating","cookiencream","0","43","","","","",""
"","964","","964","500","stim","single-stim-button","98","255662","0.0-97.0","dietary_decision","true","0","","Good","964","taste_rating","Lindt","1","44","","","","",""
"","1031","","1031","500","stim","single-stim-button","99","257205","0.0-98.0","dietary_decision","true","0","","Neutral","1031","taste_rating","sbcrackers","0","45","","","","",""
"","503","","503","500","stim","single-stim-button","100","258220","0.0-99.0","dietary_decision","true","0","","Neutral","503","taste_rating","brocollincauliflower","0","46","","","","",""
"","452","","452","500","stim","single-stim-button","101","259185","0.0-100.0","dietary_decision","true","0","","Neutral","452","taste_rating","KitKat","0","47","","","","",""
