text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,361.0,,361.0,500.0,stim,single-stim-button,140,327361,0.0-140.0,dietary_decision,True,0,,Yes,361.0,decision,ChipsAhoy,1.0,34.0,icecreamsandwich,"{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,318.0,,318.0,500.0,stim,single-stim-button,141,328191,0.0-141.0,dietary_decision,True,0,,Yes,318.0,decision,keeblerrainbow,1.0,35.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,320.0,,320.0,500.0,stim,single-stim-button,142,329024,0.0-142.0,dietary_decision,True,0,,Yes,320.0,decision,100Grand,1.0,36.0,icecreamsandwich,"{""health"":1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,348.0,,348.0,500.0,stim,single-stim-button,143,329872,0.0-143.0,dietary_decision,True,0,,Yes,348.0,decision,strawberries,1.0,37.0,icecreamsandwich,"{""health"":1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,348.0,,348.0,500.0,stim,single-stim-button,144,330726,0.0-144.0,dietary_decision,True,0,,Yes,348.0,decision,butterfinger,1.0,38.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,287.0,,287.0,500.0,stim,single-stim-button,145,331529,0.0-145.0,dietary_decision,True,0,,Yes,287.0,decision,orangejello,1.0,39.0,icecreamsandwich,"{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,288.0,,288.0,500.0,stim,single-stim-button,146,332333,0.0-146.0,dietary_decision,True,0,,Yes,288.0,decision,cookiencream,1.0,40.0,icecreamsandwich,"{""health"":-1,""taste"":0}","{""health"":0,""taste"":-1}",,,4
,349.0,,349.0,500.0,stim,single-stim-button,147,333197,0.0-147.0,dietary_decision,True,0,,Yes,349.0,decision,Ghiradelli,1.0,41.0,icecreamsandwich,"{""health"":""NaN"",""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,361.0,,361.0,500.0,stim,single-stim-button,148,334070,0.0-148.0,dietary_decision,True,0,,Yes,361.0,decision,redgrapes,1.0,42.0,icecreamsandwich,"{""health"":-1,""taste"":1}","{""health"":0,""taste"":-1}",,,4
,349.0,,349.0,500.0,stim,single-stim-button,149,334920,0.0-149.0,dietary_decision,True,0,,Yes,349.0,decision,HoHo,1.0,43.0,icecreamsandwich,"{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,350.0,,350.0,500.0,stim,single-stim-button,150,335781,0.0-150.0,dietary_decision,True,0,,Yes,350.0,decision,ruffles,1.0,44.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,395.0,,395.0,500.0,stim,single-stim-button,151,336676,0.0-151.0,dietary_decision,True,0,,Yes,395.0,decision,mixedyogart,1.0,45.0,icecreamsandwich,"{""health"":1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,396.0,,396.0,500.0,stim,single-stim-button,152,337583,0.0-152.0,dietary_decision,True,0,,Yes,396.0,decision,raisins,1.0,46.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,269.0,,269.0,500.0,stim,single-stim-button,153,338365,0.0-153.0,dietary_decision,True,0,,Yes,269.0,decision,strussel,1.0,47.0,icecreamsandwich,"{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,304.0,,304.0,500.0,stim,single-stim-button,154,339180,0.0-154.0,dietary_decision,True,0,,Yes,304.0,decision,FlamingCheetos,1.0,48.0,icecreamsandwich,"{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}",,,4
,2913.0,,2913.0,500.0,stim,single-stim-button,106,313972,0.0-106.0,dietary_decision,True,0,,Yes,2913.0,decision,reddelicious,1.0,0.0,orangejello,"{""health"":1,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,2513.0,,2513.0,500.0,stim,single-stim-button,107,316995,0.0-107.0,dietary_decision,True,0,,Yes,2513.0,decision,Lindt,1.0,1.0,orangejello,"{""health"":1,""taste"":1}","{""health"":-1,""taste"":1}",,,5
